//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 7-11-2014
//--  Time: 21:16
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: AFR Table 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:linearGenerator
//-- Table Identifier:002//-- generated by Custom linear generator using user input data:
//-- Volts:0, 5     AFR:10, 20
//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
0	10.00	100 	0.000
1	10.01	100 	0.005
2	10.02	100 	0.010
3	10.03	100 	0.015
4	10.04	100 	0.020
5	10.05	100 	0.024
6	10.06	101 	0.029
7	10.07	101 	0.034
8	10.08	101 	0.039
9	10.09	101 	0.044
10	10.10	101 	0.049
11	10.11	101 	0.054
12	10.12	101 	0.059
13	10.13	101 	0.063
14	10.14	101 	0.068
15	10.15	101 	0.073
16	10.16	102 	0.078
17	10.17	102 	0.083
18	10.18	102 	0.088
19	10.19	102 	0.093
20	10.20	102 	0.098
21	10.21	102 	0.103
22	10.21	102 	0.107
23	10.22	102 	0.112
24	10.23	102 	0.117
25	10.24	102 	0.122
26	10.25	103 	0.127
27	10.26	103 	0.132
28	10.27	103 	0.137
29	10.28	103 	0.142
30	10.29	103 	0.146
31	10.30	103 	0.151
32	10.31	103 	0.156
33	10.32	103 	0.161
34	10.33	103 	0.166
35	10.34	103 	0.171
36	10.35	104 	0.176
37	10.36	104 	0.181
38	10.37	104 	0.186
39	10.38	104 	0.190
40	10.39	104 	0.195
41	10.40	104 	0.200
42	10.41	104 	0.205
43	10.42	104 	0.210
44	10.43	104 	0.215
45	10.44	104 	0.220
46	10.45	104 	0.225
47	10.46	105 	0.229
48	10.47	105 	0.234
49	10.48	105 	0.239
50	10.49	105 	0.244
51	10.50	105 	0.249
52	10.51	105 	0.254
53	10.52	105 	0.259
54	10.53	105 	0.264
55	10.54	105 	0.269
56	10.55	105 	0.273
57	10.56	106 	0.278
58	10.57	106 	0.283
59	10.58	106 	0.288
60	10.59	106 	0.293
61	10.60	106 	0.298
62	10.61	106 	0.303
63	10.62	106 	0.308
64	10.63	106 	0.313
65	10.63	106 	0.317
66	10.64	106 	0.322
67	10.65	107 	0.327
68	10.66	107 	0.332
69	10.67	107 	0.337
70	10.68	107 	0.342
71	10.69	107 	0.347
72	10.70	107 	0.352
73	10.71	107 	0.356
74	10.72	107 	0.361
75	10.73	107 	0.366
76	10.74	107 	0.371
77	10.75	108 	0.376
78	10.76	108 	0.381
79	10.77	108 	0.386
80	10.78	108 	0.391
81	10.79	108 	0.396
82	10.80	108 	0.400
83	10.81	108 	0.405
84	10.82	108 	0.410
85	10.83	108 	0.415
86	10.84	108 	0.420
87	10.85	108 	0.425
88	10.86	109 	0.430
89	10.87	109 	0.435
90	10.88	109 	0.439
91	10.89	109 	0.444
92	10.90	109 	0.449
93	10.91	109 	0.454
94	10.92	109 	0.459
95	10.93	109 	0.464
96	10.94	109 	0.469
97	10.95	109 	0.474
98	10.96	110 	0.479
99	10.97	110 	0.483
100	10.98	110 	0.488
101	10.99	110 	0.493
102	11.00	110 	0.498
103	11.01	110 	0.503
104	11.02	110 	0.508
105	11.03	110 	0.513
106	11.04	110 	0.518
107	11.04	110 	0.522
108	11.05	111 	0.527
109	11.06	111 	0.532
110	11.07	111 	0.537
111	11.08	111 	0.542
112	11.09	111 	0.547
113	11.10	111 	0.552
114	11.11	111 	0.557
115	11.12	111 	0.562
116	11.13	111 	0.566
117	11.14	111 	0.571
118	11.15	112 	0.576
119	11.16	112 	0.581
120	11.17	112 	0.586
121	11.18	112 	0.591
122	11.19	112 	0.596
123	11.20	112 	0.601
124	11.21	112 	0.605
125	11.22	112 	0.610
126	11.23	112 	0.615
127	11.24	112 	0.620
128	11.25	113 	0.625
129	11.26	113 	0.630
130	11.27	113 	0.635
131	11.28	113 	0.640
132	11.29	113 	0.645
133	11.30	113 	0.649
134	11.31	113 	0.654
135	11.32	113 	0.659
136	11.33	113 	0.664
137	11.34	113 	0.669
138	11.35	113 	0.674
139	11.36	114 	0.679
140	11.37	114 	0.684
141	11.38	114 	0.688
142	11.39	114 	0.693
143	11.40	114 	0.698
144	11.41	114 	0.703
145	11.42	114 	0.708
146	11.43	114 	0.713
147	11.44	114 	0.718
148	11.45	114 	0.723
149	11.46	115 	0.728
150	11.46	115 	0.732
151	11.47	115 	0.737
152	11.48	115 	0.742
153	11.49	115 	0.747
154	11.50	115 	0.752
155	11.51	115 	0.757
156	11.52	115 	0.762
157	11.53	115 	0.767
158	11.54	115 	0.771
159	11.55	116 	0.776
160	11.56	116 	0.781
161	11.57	116 	0.786
162	11.58	116 	0.791
163	11.59	116 	0.796
164	11.60	116 	0.801
165	11.61	116 	0.806
166	11.62	116 	0.811
167	11.63	116 	0.815
168	11.64	116 	0.820
169	11.65	117 	0.825
170	11.66	117 	0.830
171	11.67	117 	0.835
172	11.68	117 	0.840
173	11.69	117 	0.845
174	11.70	117 	0.850
175	11.71	117 	0.854
176	11.72	117 	0.859
177	11.73	117 	0.864
178	11.74	117 	0.869
179	11.75	117 	0.874
180	11.76	118 	0.879
181	11.77	118 	0.884
182	11.78	118 	0.889
183	11.79	118 	0.894
184	11.80	118 	0.898
185	11.81	118 	0.903
186	11.82	118 	0.908
187	11.83	118 	0.913
188	11.84	118 	0.918
189	11.85	118 	0.923
190	11.86	119 	0.928
191	11.87	119 	0.933
192	11.88	119 	0.938
193	11.88	119 	0.942
194	11.89	119 	0.947
195	11.90	119 	0.952
196	11.91	119 	0.957
197	11.92	119 	0.962
198	11.93	119 	0.967
199	11.94	119 	0.972
200	11.95	120 	0.977
201	11.96	120 	0.981
202	11.97	120 	0.986
203	11.98	120 	0.991
204	11.99	120 	0.996
205	12.00	120 	1.001
206	12.01	120 	1.006
207	12.02	120 	1.011
208	12.03	120 	1.016
209	12.04	120 	1.021
210	12.05	121 	1.025
211	12.06	121 	1.030
212	12.07	121 	1.035
213	12.08	121 	1.040
214	12.09	121 	1.045
215	12.10	121 	1.050
216	12.11	121 	1.055
217	12.12	121 	1.060
218	12.13	121 	1.064
219	12.14	121 	1.069
220	12.15	121 	1.074
221	12.16	122 	1.079
222	12.17	122 	1.084
223	12.18	122 	1.089
224	12.19	122 	1.094
225	12.20	122 	1.099
226	12.21	122 	1.104
227	12.22	122 	1.108
228	12.23	122 	1.113
229	12.24	122 	1.118
230	12.25	122 	1.123
231	12.26	123 	1.128
232	12.27	123 	1.133
233	12.28	123 	1.138
234	12.29	123 	1.143
235	12.29	123 	1.147
236	12.30	123 	1.152
237	12.31	123 	1.157
238	12.32	123 	1.162
239	12.33	123 	1.167
240	12.34	123 	1.172
241	12.35	124 	1.177
242	12.36	124 	1.182
243	12.37	124 	1.187
244	12.38	124 	1.191
245	12.39	124 	1.196
246	12.40	124 	1.201
247	12.41	124 	1.206
248	12.42	124 	1.211
249	12.43	124 	1.216
250	12.44	124 	1.221
251	12.45	125 	1.226
252	12.46	125 	1.230
253	12.47	125 	1.235
254	12.48	125 	1.240
255	12.49	125 	1.245
256	12.50	125 	1.250
257	12.51	125 	1.255
258	12.52	125 	1.260
259	12.53	125 	1.265
260	12.54	125 	1.270
261	12.55	125 	1.274
262	12.56	126 	1.279
263	12.57	126 	1.284
264	12.58	126 	1.289
265	12.59	126 	1.294
266	12.60	126 	1.299
267	12.61	126 	1.304
268	12.62	126 	1.309
269	12.63	126 	1.313
270	12.64	126 	1.318
271	12.65	126 	1.323
272	12.66	127 	1.328
273	12.67	127 	1.333
274	12.68	127 	1.338
275	12.69	127 	1.343
276	12.70	127 	1.348
277	12.71	127 	1.353
278	12.71	127 	1.357
279	12.72	127 	1.362
280	12.73	127 	1.367
281	12.74	127 	1.372
282	12.75	128 	1.377
283	12.76	128 	1.382
284	12.77	128 	1.387
