//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 3-22-2015
//--  Time: 15:24
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Air Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:001//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490.0 Ohms
//--    Temperature1: 0.0(C), 	Resistance 1: 94000.0 Ohms 
//--    Temperature2: 50.0(C), 	Resistance 2: 11000.0 Ohms 
//--    Temperature3: 98.0(C), 	Resistance 3: 2370.0 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
0	70.00	700 	0.000
1	70.00	700 	0.005
2	70.00	700 	0.010
3	70.00	700 	0.015
4	70.00	700 	0.020
5	70.00	700 	0.024
6	70.00	700 	0.029
7	70.00	700 	0.034
8	70.00	700 	0.039
9	70.00	700 	0.044
10	70.00	700 	0.049
11	70.00	700 	0.054
12	70.00	700 	0.059
13	70.00	700 	0.063
14	70.00	700 	0.068
15	70.00	700 	0.073
16	70.00	700 	0.078
17	70.00	700 	0.083
18	70.00	700 	0.088
19	70.00	700 	0.093
20	70.00	700 	0.098
21	70.00	700 	0.103
22	70.00	700 	0.107
23	70.00	700 	0.112
24	70.00	700 	0.117
25	70.00	700 	0.122
26	70.00	700 	0.127
27	70.00	700 	0.132
28	70.00	700 	0.137
29	70.00	700 	0.142
30	70.00	700 	0.146
31	70.00	700 	0.151
32	70.00	700 	0.156
33	70.00	700 	0.161
34	70.00	700 	0.166
35	70.00	700 	0.171
36	70.00	700 	0.176
37	70.00	700 	0.181
38	70.00	700 	0.186
39	70.00	700 	0.190
40	70.00	700 	0.195
41	70.00	700 	0.200
42	70.00	700 	0.205
43	70.00	700 	0.210
44	70.00	700 	0.215
45	70.00	700 	0.220
46	70.00	700 	0.225
47	70.00	700 	0.229
48	70.00	700 	0.234
49	70.00	700 	0.239
50	70.00	700 	0.244
51	70.00	700 	0.249
52	70.00	700 	0.254
53	70.00	700 	0.259
54	70.00	700 	0.264
55	70.00	700 	0.269
56	70.00	700 	0.273
57	70.00	700 	0.278
58	70.00	700 	0.283
59	70.00	700 	0.288
60	70.00	700 	0.293
61	70.00	700 	0.298
62	70.00	700 	0.303
63	70.00	700 	0.308
64	70.00	700 	0.313
65	70.00	700 	0.317
66	70.00	700 	0.322
67	70.00	700 	0.327
68	70.00	700 	0.332
69	70.00	700 	0.337
70	70.00	700 	0.342
71	70.00	700 	0.347
72	70.00	700 	0.352
73	70.00	700 	0.356
74	70.00	700 	0.361
75	70.00	700 	0.366
76	70.00	700 	0.371
77	70.00	700 	0.376
78	70.00	700 	0.381
79	70.00	700 	0.386
80	70.00	700 	0.391
81	70.00	700 	0.396
82	70.00	700 	0.400
83	70.00	700 	0.405
84	70.00	700 	0.410
85	70.00	700 	0.415
86	70.00	700 	0.420
87	70.00	700 	0.425
88	70.00	700 	0.430
89	70.00	700 	0.435
90	70.00	700 	0.439
91	70.00	700 	0.444
92	70.00	700 	0.449
93	70.00	700 	0.454
94	70.00	700 	0.459
95	70.00	700 	0.464
96	70.00	700 	0.469
97	70.00	700 	0.474
98	70.00	700 	0.479
99	70.00	700 	0.483
100	70.00	700 	0.488
101	70.00	700 	0.493
102	70.00	700 	0.498
103	70.00	700 	0.503
104	70.00	700 	0.508
105	70.00	700 	0.513
106	70.00	700 	0.518
107	70.00	700 	0.522
108	70.00	700 	0.527
109	70.00	700 	0.532
110	70.00	700 	0.537
111	70.00	700 	0.542
112	70.00	700 	0.547
113	70.00	700 	0.552
114	70.00	700 	0.557
115	70.00	700 	0.562
116	70.00	700 	0.566
117	70.00	700 	0.571
118	70.00	700 	0.576
119	70.00	700 	0.581
120	70.00	700 	0.586
121	70.00	700 	0.591
122	70.00	700 	0.596
123	70.00	700 	0.601
124	70.00	700 	0.605
125	70.00	700 	0.610
126	70.00	700 	0.615
127	70.00	700 	0.620
128	70.00	700 	0.625
129	70.00	700 	0.630
130	70.00	700 	0.635
131	70.00	700 	0.640
132	70.00	700 	0.645
133	70.00	700 	0.649
134	70.00	700 	0.654
135	70.00	700 	0.659
136	70.00	700 	0.664
137	349.34	3493 	0.669
138	348.56	3486 	0.674
139	347.78	3478 	0.679
140	347.01	3470 	0.684
141	346.24	3462 	0.688
142	345.48	3455 	0.693
143	344.73	3447 	0.698
144	343.98	3440 	0.703
145	343.23	3432 	0.708
146	342.50	3425 	0.713
147	341.77	3418 	0.718
148	341.04	3410 	0.723
149	340.32	3403 	0.728
150	339.60	3396 	0.732
151	338.89	3389 	0.737
152	338.19	3382 	0.742
153	337.48	3375 	0.747
154	336.79	3368 	0.752
155	336.10	3361 	0.757
156	335.41	3354 	0.762
157	334.73	3347 	0.767
158	334.05	3341 	0.771
159	333.38	3334 	0.776
160	332.72	3327 	0.781
161	332.05	3321 	0.786
162	331.39	3314 	0.791
163	330.74	3307 	0.796
164	330.09	3301 	0.801
165	329.44	3294 	0.806
166	328.80	3288 	0.811
167	328.17	3282 	0.815
168	327.53	3275 	0.820
169	326.90	3269 	0.825
170	326.28	3263 	0.830
171	325.66	3257 	0.835
172	325.04	3250 	0.840
173	324.43	3244 	0.845
174	323.82	3238 	0.850
175	323.21	3232 	0.854
176	322.61	3226 	0.859
